DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2021,101332,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),1: Births,1: New South Wales,A: Annual,2022,97884,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1975,29913,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1976,29456,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1977,28577,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1978,28551,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1979,27985,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1980,28251,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1981,29016,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1982,29174,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1983,29233,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1984,29081,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1985,30058,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1986,29307,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1987,29902,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1988,30446,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1989,31161,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1990,32613,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1991,31802,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1992,32075,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1993,31256,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1994,31070,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1995,30483,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1996,29556,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1997,29484,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1998,29189,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,1999,28774,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2000,28845,NUM: Number,,
ABS:BIRTHS_SUMMARY(1.0.0),5: Female births,2: Victoria,A: Annual,2001,28683,NUM: Number,,
