locale	neutName	rankF	rankM	countF	countM	totalF	totalM	rank.diff	rank.mean	count.mean	totalCount	logCount	abs
EW	Courtney	25.4	604.2	2376.4	47.8	11882	239	578.8	314.8	1212.1	12121	9.402695	578.8
EW	Sacha	440.8	1036.8	68.4	15.8	342	79	596	738.8	42.1	421	6.042633	596
EW	Kelsey	100.8	751.8	496.2	22.6	2481	113	651	426.3	259.4	2594	7.860956	651
EW	Sydney	286	968.2	138	15.4	690	77	682.2	627.1	76.7	767	6.642487	682.2
EW	Stevie	450.8	1140.2	69	13.6	345	68	689.4	795.5	41.3	413	6.023448	689.4
EW	Darcy	290.6	1022.2	128.4	14.2	642	71	731.6	656.4	71.3	713	6.569481	731.6
EW	Jay	832	76	27.4	773.4	137	3867	-756	454	400.4	4004	8.295049	756
EW	Paris	232	1011.4	177.2	14.4	886	72	779.4	621.7	95.8	958	6.864848	779.4
EW	Simran	185.4	1062.2	234.4	14.8	1172	74	876.8	623.8	124.6	1246	7.127694	876.8
EW	Jude	1278.8	401.8	15	84.8	75	424	-877	840.3	49.9	499	6.212606	877
EW	Finlay	1081.8	204.6	21	232.6	105	1163	-877.2	643.2	126.8	1268	7.145196	877.2
EW	Jordon	1042.4	149.4	20.6	241.6	103	1208	-893	595.9	131.1	1311	7.178545	893
EW	Cameron	938.6	30.8	45	2581.4	225	12907	-907.8	484.7	1313.2	13132	9.482807	907.8
EW	Jesse	1115.4	205.4	18.2	157.6	91	788	-910	660.4	87.9	879	6.778785	910
EW	Ceri	423.2	1388	73.6	10.4	368	52	964.8	905.6	42	420	6.040255	964.8
EW	Shay	1300	315.4	14.6	93.2	73	466	-984.6	807.7	53.9	539	6.289716	984.6
EW	Sasha	131.6	1188	357	12.4	1785	62	1056.4	659.8	184.7	1847	7.521318	1056.4
EW	Marley	1456	356.8	12.6	69.2	63	346	-1099.2	906.4	40.9	409	6.013715	1099.2
EW	Billie	223.2	1343.4	188.8	10.6	944	53	1120.2	783.3	99.7	997	6.904751	1120.2
EW	Robin	1415.4	237	13.8	129.4	69	647	-1178.4	826.2	71.6	716	6.57368	1178.4
EW	Ronnie	1629.6	308.8	10.4	83.8	52	419	-1320.8	969.2	47.1	471	6.154858	1320.8
EW	Corey	1438.2	100	13.8	518.4	69	2592	-1338.2	769.1	266.1	2661	7.886457	1338.2
EW	Kai	1556.6	107	11.8	488.8	59	2444	-1449.6	831.8	250.3	2503	7.825245	1449.6
